bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label,,priviledged_flow
22_9300560_130349,file,"['/var/lib/docker/overlay2/e5e0ce902933adb81914e078d4c22ae1304c407c9d00f14ea5a289d44248da05/diff/run/xtables.lock', '/run/xtables.lock']","['/usr/bin/kubelet', '/opt/bin/flanneld']",['/opt/bin/flanneld'],"[1, 1, 0, 1, 0]",['getattr'],['file_lock'],"['FORWARD', 'ACCEPT', '-s', 'RETURN', 'MASQUERADE', '--random-fully', '-j', 'filter', '-t', '--wait', '-d', '-C', '10.244.0.0/24', '!', 'POSTROUTING', '/sbin/iptables', 'nat', '10.244.0.0/16', '224.0.0.0/4']",[],7,1,0,,1
22_9300560_142448,file,['/..2022_07_18_17_10_15.785458994/token'],"['/usr/bin/kubelet', '/bin/bash']","['/usr/bin/kubelet', '/bin/bash']","[0, 0, 0, 0, 0]","['perm_check', 'getattr', 'read', 'read_ioctl', 'open']","['write_ioctl', 'write']","['python', 'find_sensitive_files.py']","['python', 'find_sensitive_files.py']",23,1,1,,1
22_9300560_142619,file,['/var/lib/docker/containers/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0,,0
22_9300560_142620,file,['/var/lib/docker/containers/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/resolv.conf'],['/usr/bin/docker-runc'],"['/usr/bin/kubelet', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],2,0,0,,0
22_9300560_142627,file,['/var/lib/docker/containers/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/hostname'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],2,0,0,,0
22_9300560_142739,pipe,['/docker/runtime-runc/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/exec.fifo'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/log.json', 'docker-runc', '--root', 'json', 'start', '/var/run/docker/runtime-runc/moby', '--log', 'f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d']",1,1,0,,1
22_9300560_142741,socket,[],['/usr/bin/docker-runc'],"['/usr/bin/docker-runc', '/usr/bin/docker-containerd-shim']","[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['send_msg', 'socket_create', 'socket_pair_create', 'send']","['--log-format', 'init', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/log.json', 'docker-runc', '--root', 'json', '--bundle', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d/init.pid', '/var/run/docker/runtime-runc/moby', 'create', '--log', 'f995f06fcedc246573bd4ed9af7e04a6f3659394a749ca2d1ff0508c4409ce7d', '--pid-file']",[],14,0,0,,0
22_9300560_142890,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_142892,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_142894,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]",['memory_read'],['clone_mem'],"['init', 'docker-runc']",[],2,0,0,,0
