bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label
15_9300560_21897,process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv6/conf/vetheed9b90', '--prefix=/net/ipv4/neigh/vetheed9b90', '/lib/systemd/systemd-sysctl', '--prefix=/net/ipv4/conf/vetheed9b90', '--prefix=/net/ipv4/neigh/veth55de695', '--prefix=/net/ipv4/conf/veth55de695', '--prefix=/net/ipv6/neigh/vetheed9b90', '--prefix=/net/ipv6/neigh/veth55de695', '--prefix=/net/ipv6/conf/veth55de695']",3,0,0
15_9300560_43987,process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],[],4,0,0
15_9300560_48369,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],106,0,0
15_9300560_71092,file,['/tmp/host_file'],['/bin/bash'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['read', 'getattr', 'perm_check', 'open']",['write'],"['-c', '/bin/sh', 'echo container_did_this > /host/tmp/host_file']","['cat', '/tmp/host_file']",5,1,1
15_9300560_78962,file,['/var/lib/docker/overlay2/721c81f94ad547ae0994fa3dac599d94d3a62918cfb48202fc88b3e73fad0f23-init/diff/etc/hostname'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
15_9300560_79005,file,['/var/lib/docker/overlay2/721c81f94ad547ae0994fa3dac599d94d3a62918cfb48202fc88b3e73fad0f23-init/diff/etc/hosts'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
15_9300560_79088,process_memory,['/usr/bin/dockerd'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['memory_read'],"['clone_mem', 'memory_write']",[],[],1,0,0
15_9300560_79110,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],2,0,0
15_9300560_79128,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],2,0,0
15_9300560_79152,file,"['/systemd/netif/state', '/systemd/netif/.#stategpUefU']",['/bin/networkctl'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['perm_check'],"['write', 'rename']",[],[],1,0,0
