bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label
2_1851734740_163156,file,['/xtables.lock'],"['/usr/local/bin/kube-proxy', '/usr/bin/kubelet']","['/usr/local/bin/kube-proxy', '/usr/bin/kubelet']","[0, 0, 0, 0, 0]","['perm_check', 'open']",['file_lock'],"['POSTROUTING', '--mark', 'kubernetes externally-visible service portals', 'KUBE-MARK-MASQ', '-C', 'KUBE-POSTROUTING', 'kubernetes service portals', 'OUTPUT', '0x00008000/0x00008000', 'FORWARD', 'KUBE-FORWARD', 'filter', 'kubernetes firewall for dropping marked packets', 'MASQUERADE', '-N', 'DROP', 'KUBE-EXTERNAL-SERVICES', '--comment', '-j', '0x00004000/0x00004000', 'NEW', '--ctstate', 'PREROUTING', 'nat', '-w', 'mark', '-t', 'KUBE-MARK-DROP', 'INPUT', 'kubernetes service traffic requiring SNAT', '5', 'kubernetes postrouting rules', '--set-xmark', 'kubernetes forwarding rules', 'iptables', 'KUBE-SERVICES', 'comment', 'MARK', 'conntrack', 'KUBE-FIREWALL', '-m']","['POSTROUTING', '--mark', 'kubernetes externally-visible service portals', 'KUBE-MARK-MASQ', '-C', 'KUBE-POSTROUTING', 'kubernetes service portals', 'OUTPUT', '0x00008000/0x00008000', 'FORWARD', 'KUBE-FORWARD', 'filter', 'kubernetes firewall for dropping marked packets', 'MASQUERADE', '-N', 'DROP', 'KUBE-EXTERNAL-SERVICES', '--comment', '-j', '0x00004000/0x00004000', 'NEW', '--ctstate', 'PREROUTING', 'nat', '-w', 'mark', '-t', 'KUBE-MARK-DROP', 'INPUT', 'kubernetes service traffic requiring SNAT', '5', 'kubernetes postrouting rules', '--set-xmark', 'kubernetes forwarding rules', 'iptables', 'KUBE-SERVICES', 'comment', 'MARK', 'conntrack', 'KUBE-FIREWALL', '-m']",292,1,0
2_1851734740_246632,file,"['/var/lib/docker/overlay2/61f62e6a7d9016e015d8b825236c2b71e478990bafac16fd5c49d00d628832fa/diff/run/xtables.lock', '/run/xtables.lock']",['/usr/bin/kubelet'],['/opt/bin/flanneld'],"[1, 1, 0, 1, 0]",['getattr'],['file_lock'],"['POSTROUTING', '/sbin/iptables', '-s', '-C', '!', 'FORWARD', '--wait', 'filter', '10.244.0.0/24', 'MASQUERADE', '-j', 'RETURN', '10.244.0.0/16', '--random-fully', 'ACCEPT', '-d', 'nat', '-t', '224.0.0.0/4']",[],4,1,0
2_1851734740_264595,file,['/var/lib/docker/containers/5dce5deb37a45d5c95d2f45e6a73a398e2a301ebb82ceeb1bc957210b8535e5b/hosts'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],['/pause'],1,0,0
2_1851734740_264598,file,['/var/lib/docker/containers/5dce5deb37a45d5c95d2f45e6a73a398e2a301ebb82ceeb1bc957210b8535e5b/resolv.conf'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']","['/usr/bin/dockerd', '/usr/bin/kubelet']","[1, 1, 1, 1, 1]",['getattr'],['write'],[],"['/bin/sleep', 'inf', '/pause']",21,0,0
2_1851734740_264605,file,['/var/lib/docker/containers/5dce5deb37a45d5c95d2f45e6a73a398e2a301ebb82ceeb1bc957210b8535e5b/hostname'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],"['/bin/sleep', 'inf', '/pause']",21,0,0
2_1851734740_265605,file,"['/systemd/netif/links/9', '/systemd/netif/links/.#9GQUBQP']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'read', 'open']","['rename', 'write']",[],[],16,0,0
2_1851734740_265610,file,"['/systemd/netif/.#state78pUFk', '/systemd/netif/state']","['/usr/bin/python3.6', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['perm_check'],"['rename', 'write']",[],"['--no-pager', 'list', '/bin/networkctl', '--no-legend']",1,0,0
2_1851734740_265614,file,"['/systemd/netif/links/9', '/systemd/netif/links/.#90nCevP']","['/lib/systemd/systemd-resolved', '/usr/bin/python3.6', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'read', 'open']","['rename', 'write']",[],"['--no-pager', 'list', '/bin/networkctl', '--no-legend']",304,0,0
2_1851734740_266012,file,"['/systemd/netif/links/.#9QIqOhP', '/systemd/netif/links/9']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'read', 'open']","['rename', 'write']",[],[],44,0,0
2_1851734740_266026,file,"['/systemd/resolve/.#resolv.confVRfLYh', '/systemd/resolve/resolv.conf']",['/usr/bin/kubelet'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'open']","['rename', 'write']",[],[],3,0,0
