bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,labels
44_577844575_275687,file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/hosts'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
44_577844575_275708,file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/hostname'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
44_577844575_275727,file,['/var/lib/docker/overlay2/21efa2c02f6440f41f476bc42aeb1eaa92e551129830f2784320b939dae8c78f-init/diff/etc/resolv.conf'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
44_577844575_275829,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0,0
44_577844575_275846,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-journald'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0,0
44_577844575_275860,file,"['/systemd/netif/.#statedZoqXK', '/systemd/netif/state']","['/bin/networkctl', '/lib/systemd/systemd-timesyncd']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],9,0,0
44_577844575_275866,file,"['/systemd/netif/links/.#13LJV2v1', '/systemd/netif/links/13']","['/usr/bin/python3.6', '/lib/systemd/systemd-resolved']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],"['/bin/networkctl', '--no-pager', '--no-legend', 'list']",12,0,0
44_577844575_275963,file,"['/systemd/resolve/.#stub-resolv.confdVNohr', '/systemd/resolve/stub-resolv.conf']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'open', 'getattr', 'read']","['write', 'rename']",[],[],4,0,0
44_577844575_276086,file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0
44_577844575_276096,file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/resolv.conf'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0
44_577844575_276406,file,['/var/lib/docker/containers/ea9022a5e365a2f852ee0e6ef30e7dd897e45116d943693b5d24a1f4d3f670af/hostname'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0
